"ID";"UID DA TOMADA";"TIPO DE CARREGAMENTO";"ESTADO DO POSTO";"CIDADE";"MORADA";"LATITUDE";"LONGITUDE";"OPERADOR";"MOBICHARGER";"NÍVEL DE TENSÃO";"TIPO DE TOMADA";"FORMATO DA TOMADA";"POTÊNCIA DA TOMADA (kW)";"ESTADO DA TOMADA";"ÚLTIMA ATUALIZAÇÃO"
"ODV-00012";"ODV-00012-01";"Alta Potência Rápido";"Em uso";"Odivelas";"Rua Almirante Gago Coutinho, Casal Sto André";"38.804965";"-9.15803";"REP - Repsol";"Não";"Baixa Tensão Especial";"CHAdeMO";"CABLE";"30";"Fora de Serviço";"2026-01-31T15:40:18.581Z"
"ODV-00012";"ODV-00012-02";"Alta Potência Rápido";"Em uso";"Odivelas";"Rua Almirante Gago Coutinho, Casal Sto André";"38.804965";"-9.15803";"REP - Repsol";"Não";"Baixa Tensão Especial";"CCS";"CABLE";"30";"Em uso";"2026-01-31T15:40:18.581Z"
"ODV-00012";"ODV-00012-03";"Alta Potência Rápido";"Em uso";"Odivelas";"Rua Almirante Gago Coutinho, Casal Sto André";"38.804965";"-9.15803";"REP - Repsol";"Não";"Baixa Tensão Especial";"Mennekes";"CABLE";"22";"Fora de Serviço";"2026-01-31T15:40:18.581Z"
"ODV-00019";"ODV-00019-01";"Alta Potência Rápido";"Em uso";"Odivelas";"Rua Major Rosa Bastos E.N. 250";"38.810754";"-9.23076";"ATL - Atlante";"Não";"Média Tensão";"CHAdeMO";"CABLE";"50";"Disponível";"2026-01-31T15:32:07.071Z"
"ODV-00019";"ODV-00019-02";"Alta Potência Rápido";"Em uso";"Odivelas";"Rua Major Rosa Bastos E.N. 250";"38.810754";"-9.23076";"ATL - Atlante";"Não";"Média Tensão";"CCS";"CABLE";"60";"INOPERATIVE";"2026-01-31T15:32:07.071Z"
"ODV-00019";"ODV-00019-03";"Alta Potência Rápido";"Em uso";"Odivelas";"Rua Major Rosa Bastos E.N. 250";"38.810754";"-9.23076";"ATL - Atlante";"Não";"Média Tensão";"Mennekes";"CABLE";"22";"Em uso";"2026-01-31T15:32:07.071Z"
"ODV-00021";"ODV-00021-01";"Alta Potência Rápido";"Offline";"Odivelas";"Av. Augusto Hilário 59";"38.813959";"-9.188558";"ATL - Atlante";"Não";"Média Tensão";"CHAdeMO";"CABLE";"50";"Offline";"2026-01-31T14:55:03.097Z"
"ODV-00021";"ODV-00021-02";"Alta Potência Rápido";"Offline";"Odivelas";"Av. Augusto Hilário 59";"38.813959";"-9.188558";"ATL - Atlante";"Não";"Média Tensão";"CCS";"CABLE";"60";"Offline";"2026-01-31T14:55:03.097Z"
"ODV-00021";"ODV-00021-03";"Alta Potência Rápido";"Offline";"Odivelas";"Av. Augusto Hilário 59";"38.813959";"-9.188558";"ATL - Atlante";"Não";"Média Tensão";"Mennekes";"SOCKET";"22";"Fora de Serviço";"2026-01-31T14:55:03.097Z"
"ODV-00026";"ODV-00026-01";"Potência Normal Médio";"Em uso";"Odivelas";"Estrada da Paiã - Strada Outlet";"38.781751";"-9.192889";"ATL - Atlante";"Não";"Média Tensão";"Mennekes";"SOCKET";"22";"Em uso";"2026-01-31T14:27:39.677Z"
